[2026-05-12 20:44:50,311] 20 root - INFO - Initiate The Data Ingestion
[2026-05-12 20:45:17,520] 70 root - INFO - Performed Train Test Split on the Dataframe
[2026-05-12 20:45:17,520] 72 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-12 20:45:17,520] 80 root - INFO - Exporting Train and Test File Path.
[2026-05-12 20:45:18,693] 90 root - INFO - Exported train and test file path
[2026-05-12 20:45:18,695] 22 root - INFO - Data Initiation Completed
[2026-05-12 20:45:18,715] 26 root - INFO - Initiate The Data Validation
[2026-05-12 20:45:18,917] 34 root - INFO - Required number of columns: 2
[2026-05-12 20:45:18,917] 35 root - INFO - Data Frame has columns: 50
[2026-05-12 20:45:18,920] 34 root - INFO - Required number of columns: 2
[2026-05-12 20:45:18,920] 35 root - INFO - Data Frame has columns: 50
[2026-05-12 20:45:20,451] 28 root - INFO - Data Validation Completed
[2026-05-12 20:45:20,452] 31 root - INFO - Data Transformation Started
[2026-05-12 20:45:20,452] 69 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[2026-05-12 20:45:20,452] 71 root - INFO - Starting Data Transformation
[2026-05-12 20:45:20,615] 50 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-05-12 20:45:20,615] 55 root - INFO - Intialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-05-12 20:45:20,651] 45 root - INFO - Entered the save_object method of MainUtils Class
[2026-05-12 20:45:20,658] 49 root - INFO - Exited the save_object method of MainUtils Class
[2026-05-12 20:45:20,661] 35 root - INFO - Data Transformation Completed
