[2026-05-11 20:23:47,275] 19 root - INFO - Initiate The Data Ingestion
[2026-05-11 20:23:55,901] 70 root - INFO - Performed Train Test Split on the Dataframe
[2026-05-11 20:23:55,901] 72 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-05-11 20:23:55,906] 80 root - INFO - Exporting Train and Test File Path.
[2026-05-11 20:23:56,601] 90 root - INFO - Exported train and test file path
[2026-05-11 20:23:56,601] 21 root - INFO - Data Initiation Completed
[2026-05-11 20:23:56,608] 25 root - INFO - Initiate The Data Validation
[2026-05-11 20:23:56,713] 34 root - INFO - Required number of columns: 2
[2026-05-11 20:23:56,713] 35 root - INFO - Data Frame has columns: 50
[2026-05-11 20:23:56,713] 34 root - INFO - Required number of columns: 2
[2026-05-11 20:23:56,713] 35 root - INFO - Data Frame has columns: 50
[2026-05-11 20:23:57,559] 27 root - INFO - Data Validation Completed
